Accession,Isolate_ID,Originating_lab,Submitting_lab,Subtype
EPI712961 | HA_16RPF11_T1526-16 O,EPIISL212502,,Robert-Koch-Institute,H1N1pdm09
EPI712958 | HA_16NRW19_T1445-16 O,EPIISL212499,,Robert-Koch-Institute,H1N1pdm09
EPI712957 | HA_16BLN15_T1440-16 O,EPIISL212498,,Robert-Koch-Institute,H1N1pdm09
EPI712953 | HA_16NRW4_T1400-16 O,EPIISL212494,,Robert-Koch-Institute,H1N1pdm09
EPI712235 | infl_16-02030NGS_H1pdm09,EPIISL212293,,Swedish Institute for Infectious Disease Control,H1N1pdm09
EPI712211 | infl_16-01307NGS_H1pdm09,EPIISL212290,,Swedish Institute for Infectious Disease Control,H1N1pdm09
EPI712203 | infl_16-01103NGS_H1pdm09,EPIISL212289,,Swedish Institute for Infectious Disease Control,H1N1pdm09
EPI711229 | A/Sibiu/191029/2016,EPIISL212132,Cantacuzino Institute,Cantacuzino Institute,H1N1pdm09
EPI711227 | A/Calarasi/191024/2016,EPIISL212130,Cantacuzino Institute,Cantacuzino Institute,H1N1pdm09
EPI711224 | A/Bucuresti/190495/2016,EPIISL212127,Cantacuzino Institute,Cantacuzino Institute,H1N1pdm09
EPI711190 | A/Athens.GR/1025/2016,EPIISL212111,Hellenic Pasteur Institute,Hellenic Pasteur Institute,H1N1pdm09
EPI711174 | A/Athens.GR/639/2016,EPIISL212102,Hellenic Pasteur Institute,Hellenic Pasteur Institute,H1N1pdm09
EPI711172 | A/Athens.GR/510/2016,EPIISL212101,Hellenic Pasteur Institute,Hellenic Pasteur Institute,H1N1pdm09
EPI710941 | HA_16SAS14_T01279-16 O,EPIISL212000,,Robert-Koch-Institute,H1N1pdm09
EPI710940 | HA_16SHO1_T01255-16 O,EPIISL211999,,Robert-Koch-Institute,H1N1pdm09
EPI710899 | A/SAPPORO/1/2016_MDCK1+1_HA,EPIISL211993,Sapporo City Institute of Public Health,National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI710819 | A/Taiwan/1/2016_MDCK1+1_HA,EPIISL211983,Center for Disease Control,National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI710060 | infl_16-01303NGS_H1pdm09,EPIISL211878,,Swedish Institute for Infectious Disease Control,H1N1pdm09
EPI710044 | infl_16-01301NGS_H1pdm09,EPIISL211876,,Swedish Institute for Infectious Disease Control,H1N1pdm09
EPI709941 | HA_16BAY5_T01302-16 O,EPIISL211853,,Robert-Koch-Institute,H1N1pdm09
EPI709935 | HA_16NRW3_T01229-16 O,EPIISL211847,,Robert-Koch-Institute,H1N1pdm09
EPI709532 | 3025624549_285040_v1_4,EPIISL211721,Pennsylvania Department of Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI706872 | a-athens-123-2016h1J,EPIISL210399,Hellenic Pasteur Institute,Crick Worldwide Influenza Centre,H1N1pdm09
EPI706399 | 3000416569_284122_v1_4,EPIISL210333,Nebraska Public Health Lab,Centers for Disease Control and Prevention,H1N1pdm09
EPI706346 | 3025624466_284923_v1_4,EPIISL210326,Wisconsin State Laboratory of Hygiene,Centers for Disease Control and Prevention,H1N1pdm09
EPI706181 | 3025624475_284947_v1_4,EPIISL210305,Montana Laboratory Services Bureau,Centers for Disease Control and Prevention,H1N1pdm09
EPI704036 | A/Bucuresti/190757/2016,EPIISL209021,,Cantacuzino Institute,H1N1pdm09
EPI704033 | A/Bucuresti/1469-3026/2016,EPIISL209018,,Cantacuzino Institute,H1N1pdm09
EPI704027 | A/Sao Paulo/815/2016,EPIISL209015,Instituto Adolfo Lutz,Instituto Adolfo Lutz,H1N1pdm09
EPI700138 | HA_16SAS1_T1208-16,EPIISL208352,,Robert-Koch-Institute,H1N1pdm09
EPI700135 | HA_16BLN5_T1181-16,EPIISL208349,,Robert-Koch-Institute,H1N1pdm09
EPI700133 | HA_16BAY2_T1164-16,EPIISL208347,,Robert-Koch-Institute,H1N1pdm09
EPI700130 | HA_16BLN1_T1137-16,EPIISL208344,,Robert-Koch-Institute,H1N1pdm09
EPI700127 | HA_16BWB1_T1098-16,EPIISL208341,,Robert-Koch-Institute,H1N1pdm09
EPI700124 | HA_16HAM1_T1062-16,EPIISL208338,,Robert-Koch-Institute,H1N1pdm09
EPI700033 | A/Saint-Petersburg/10/2016,EPIISL208310,,State Research Center of Virology and Biotechnology Vector,H1N1pdm09
EPI699860 | A/Saint-Petersburg/RII639M/2016,EPIISL208232,,WHO National Influenza Centre Russian Federation,H1N1pdm09
EPI699824 | A/Athens.GR/12/2016,EPIISL208222,Hellenic Pasteur Institute,Hellenic Pasteur Institute,H1N1pdm09
EPI699778 | A/Athens.GR/19/2016,EPIISL208215,Hellenic Pasteur Institute,Hellenic Pasteur Institute,H1N1pdm09
EPI699772 | A/Athens.GR/38/2016,EPIISL208212,Hellenic Pasteur Institute,Hellenic Pasteur Institute,H1N1pdm09
EPI699026 | A/Bucuresti/190460/2016,EPIISL208085,Cantacuzino Institute,Cantacuzino Institute,H1N1pdm09
EPI699023 | A/Bucuresti/190324/2016,EPIISL208083,Cantacuzino Institute,Cantacuzino Institute,H1N1pdm09
EPI698912 | A/Dambovita/190171/2016,EPIISL208067,Cantacuzino Institute,Cantacuzino Institute,H1N1pdm09
EPI697093 | 2016-CX0100.HA,EPIISL207693,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H1N1pdm09
EPI697090 | 2016-CX0101.HA,EPIISL207692,WHO Chinese National Influenza Center,WHO Chinese National Influenza Center,H1N1pdm09
EPI696678 | A/Saint-Petersburg/RII829S/2016-HA,EPIISL207568,WHO National Influenza Centre Russian Federation,WHO National Influenza Centre Russian Federation,H1N1pdm09
EPI696662 | A/Saint-Petersburg/RII789S/2016-HA,EPIISL207566,WHO National Influenza Centre Russian Federation,WHO National Influenza Centre Russian Federation,H1N1pdm09
EPI696638 | A/Saint-Petersburg/RII700S/2016-HA,EPIISL207563,WHO National Influenza Centre Russian Federation,WHO National Influenza Centre Russian Federation,H1N1pdm09
EPI773518 | MS-a-roma-8-2016h1F,EPIISL224482,Istituto Superiore di Sanità,Crick Worldwide Influenza Centre,H1N1pdm09
EPI773484 | MS-a-khmelnitsky-672-2016h1F,EPIISL224465,Institute of Epidemiology and Infectious Diseases AMS of Ukraine,Crick Worldwide Influenza Centre,H1N1pdm09
EPI773462 | MS-a-czech_rep-105-2016h1F,EPIISL224454,National Institute of Public Health,Crick Worldwide Influenza Centre,H1N1pdm09
EPI773249 | MS-a-bulgaria-360-2016S2h1F,EPIISL224354,National Centre of Infectious and ,Crick Worldwide Influenza Centre,H1N1pdm09
EPI772698 | A/Bretagne/2186/2016_HA,EPIISL224242,,Institut Pasteur,H1N1pdm09
EPI772682 | A/YAMANASHI/16029/2016_clinicalspecimen_HA,EPIISL224233,Yamanashi Institute for Public Health,National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI772661 | A/KOCHI/27/2016_MDCK2+1_HA,EPIISL224229,Kochi Public Health and Sanitation Institute ,National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI772645 | A/HIROSHIMA-C/4/2016_MDCK1+1_HA,EPIISL224221,Hiroshima City Institute of Public Health,National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI772447 | 3025625464_288155_v1_4,EPIISL224194,Kentucky Division of Laboratory Services,Centers for Disease Control and Prevention,H1N1pdm09
EPI772423 | 3025625427_288211_v1_4,EPIISL224191,Connecticut Department. of Public Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI772407 | 3025624656_285326_v1_4,EPIISL224189,California Department of Health Services,Centers for Disease Control and Prevention,H1N1pdm09
EPI772347 | 3000479384_292939_v1_4,EPIISL224181,Maryland Department of Health and Mental Hygiene,Centers for Disease Control and Prevention,H1N1pdm09
EPI772339 | 3000478221_290803_v1_4,EPIISL224180,Texas Department of State Health Services-Laboratory Services,Centers for Disease Control and Prevention,H1N1pdm09
EPI772331 | 3000478220_290802_v1_4,EPIISL224179,Texas Department of State Health Services-Laboratory Services,Centers for Disease Control and Prevention,H1N1pdm09
EPI772323 | 3000478218_290799_v1_4,EPIISL224178,Texas Department of State Health Services-Laboratory Services,Centers for Disease Control and Prevention,H1N1pdm09
EPI772267 | 3000478210_290825_v1_4,EPIISL224171,Texas Department of State Health Services-Laboratory Services,Centers for Disease Control and Prevention,H1N1pdm09
EPI772243 | 3000478200_290815_v1_4,EPIISL224168,Texas Department of State Health Services-Laboratory Services,Centers for Disease Control and Prevention,H1N1pdm09
EPI772227 | 3000478192_290775_v1_4,EPIISL224166,Michigan Department of Community Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI772211 | 3000478190_290773_v1_4,EPIISL224164,Michigan Department of Community Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI772203 | 3000478189_290772_v1_4,EPIISL224163,Michigan Department of Community Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI772139 | 3000477448_288511_v1_4,EPIISL224155,Arizona Department of Health Services,Centers for Disease Control and Prevention,H1N1pdm09
EPI771987 | 3025627377_ZZYPODZZ_v1_4,EPIISL224136,Louisiana Department of Health and Hospitals,Centers for Disease Control and Prevention,H1N1pdm09
EPI771979 | 3025627376_ZZYPODZY_v1_4,EPIISL224135,Louisiana Department of Health and Hospitals,Centers for Disease Control and Prevention,H1N1pdm09
EPI771972 | 3025627209_ZZYPOCV2_v1_4,EPIISL224134,North Carolina State Laboratory of Public Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI771964 | 3025627202_ZZYPOCUH_v1_4,EPIISL224133,Vermont Department of Health Laboratory,Centers for Disease Control and Prevention,H1N1pdm09
EPI771948 | 3025627193_ZZYPOCTZ_v1_4,EPIISL224131,Massachusetts Department of Public Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI771924 | 3025627142_ZZYPOCRI_v1_4,EPIISL224128,Kentucky Division of Laboratory Services,Centers for Disease Control and Prevention,H1N1pdm09
EPI771916 | 3025627072_ZZYPOBYG_v1_4,EPIISL224127,Rhode Island Department of Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI771908 | 3025627071_ZZYPOBYE_v1_4,EPIISL224126,Rhode Island Department of Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI771892 | 3025627051_ZZYPOBX8_v1_4,EPIISL224124,Wyoming Public Health Laboratory,Centers for Disease Control and Prevention,H1N1pdm09
EPI771884 | 3025627050_ZZYPOBX7_v1_4,EPIISL224123,Wyoming Public Health Laboratory,Centers for Disease Control and Prevention,H1N1pdm09
EPI771852 | 3025627041_ZZYPOBX5_v1_4,EPIISL224119,Florida Department of Health-Tampa,Centers for Disease Control and Prevention,H1N1pdm09
EPI771844 | 3025626989_ZZYPOBQN_v1_4,EPIISL224118,Montana Laboratory Services Bureau,Centers for Disease Control and Prevention,H1N1pdm09
EPI771812 | 3025626961_ZZYPOBP4_v1_4,EPIISL224114,New Mexico Department of Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI771804 | 3025626960_ZZYPOBP1_v1_4,EPIISL224113,New Mexico Department of Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI771780 | 3025626926_ZZYPOBLU_v1_4,EPIISL224110,Maine Health and Environmental Testing Laboratory,Centers for Disease Control and Prevention,H1N1pdm09
EPI771764 | 3025626924_ZZYPOBLS_v1_4,EPIISL224108,Maine Health and Environmental Testing Laboratory,Centers for Disease Control and Prevention,H1N1pdm09
EPI771740 | 3025626912_292186_v1_4,EPIISL224105,New Jersey Department of Health & Senior Services,Centers for Disease Control and Prevention,H1N1pdm09
EPI771620 | 3025626749_ZZYPOAQ0_v1_4,EPIISL224090,Alaska State Virology Lab,Centers for Disease Control and Prevention,H1N1pdm09
EPI771556 | 3025626510_291203_v1_4,EPIISL224082,Illinois Department of Public Health-Chicago,Centers for Disease Control and Prevention,H1N1pdm09
EPI771532 | 3025626156_290506_v1_4,EPIISL224079,Tennessee Department of Health Laboratory-Nashville,Centers for Disease Control and Prevention,H1N1pdm09
EPI771492 | 3025625612_289554_v1_4,EPIISL224074,Florida Department of Health-Jacksonville,Centers for Disease Control and Prevention,H1N1pdm09
EPI770759 | MS-a-georgia-916-2016h1M,EPIISL223958,National Centre for Disease Control and Public Health,Crick Worldwide Influenza Centre,H1N1pdm09
EPI770745 | MS-a-egypt-1571-2016h1J,EPIISL223951,Ministry of Health and Population,Crick Worldwide Influenza Centre,H1N1pdm09
EPI770741 | MS-a-egypt-1568-2016h1J,EPIISL223949,Ministry of Health and Population,Crick Worldwide Influenza Centre,H1N1pdm09
EPI770529 | A/Netherlands/625/2016|HA|,EPIISL223909,National Institute for Public Health and the Environment (RIVM),National Institute for Public Health and the Environment (RIVM),H1N1pdm09
EPI770343 | A/Paris/2374/2016_HA,EPIISL223884,,Institut Pasteur,H1N1pdm09
EPI770335 | A/Centre/2373/2016_HA,EPIISL223883,,Institut Pasteur,H1N1pdm09
EPI770327 | A/Pays_de_Loire/2364/2016_HA,EPIISL223882,,Institut Pasteur,H1N1pdm09
EPI770295 | A/Alsace/2318/2016_HA,EPIISL223878,,Institut Pasteur,H1N1pdm09
EPI770255 | A/Paris/2174/2016_HA,EPIISL223870,,Institut Pasteur,H1N1pdm09
EPI770193 | MS-a-oman-2477-2016h1M,EPIISL223851,"Central Public Health Laboratory, Ministry of Health",Crick Worldwide Influenza Centre,H1N1pdm09
EPI770092 | A/HAMAMATU-C/83/2016_MDCK1+1_HA,EPIISL223800,Hamamatsu City Health Environment Research Center,National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI770090 | A/AICHI/38/2016_MDCK1+1_HA,EPIISL223799,Aichi Prefectural Institute of Public Health,National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI770073 | HA_16SAL9 T3947-16 O,EPIISL223790,,Robert-Koch-Institute,H1N1pdm09
EPI770071 | HA_16RPF36 T3896-16 O,EPIISL223788,,Robert-Koch-Institute,H1N1pdm09
EPI770070 | HA_16SAS68 T3887-16 O,EPIISL223787,,Robert-Koch-Institute,H1N1pdm09
EPI769416 | A/GUNMA/118/2016_MDCK1+1_HA,EPIISL223615,Gunma Prefectural Institute of Public Health and Environmental Sciences,National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI769386 | A/KANAGAWA/35/2016_MDCK2+1_HA,EPIISL223612,Kanagawa Prefectural Institute of Public Health,National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI769370 | A/KANAGAWA/18/2016_MDCK2+1_HA,EPIISL223610,Kanagawa Prefectural Institute of Public Health,National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI769362 | A/CHIBA-C/4/2016_MDCK2+1_HA,EPIISL223609,Chiba City Institute of Health and Environment,National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI769352 | A/HOKKAIDO/19/2016_MDCK1+1_HA,EPIISL223607,Hokkaido Institute of Public Health,National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI769346 | A/MIYAGI/27/2016_MDCK1+1_HA,EPIISL223604,Miyagi Prefectural Institute of Public Health and Environment,National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI768367 | 3025627031_ZZYPOBW6_v1_4,EPIISL223307,Wisconsin State Laboratory of Hygiene,Centers for Disease Control and Prevention,H1N1pdm09
EPI768351 | 3025626658_ZZYPOA6X_v1_4,EPIISL223305,Virginia Division of Consolidated Laboratories,Centers for Disease Control and Prevention,H1N1pdm09
EPI768343 | 3025626657_ZZYPOA6V_v1_4,EPIISL223304,Virginia Division of Consolidated Laboratories,Centers for Disease Control and Prevention,H1N1pdm09
EPI768335 | 3000415510_285150_v1_4,EPIISL223303,"University of Virginia, Medical Labs/Microbiology",Centers for Disease Control and Prevention,H1N1pdm09
EPI768303 | 3025627340_ZZYPODJQ_v1_4,EPIISL223299,Texas Department of State Health Services-Laboratory Services,Centers for Disease Control and Prevention,H1N1pdm09
EPI768295 | 3025626942_ZZYPOBNV_v1_4,EPIISL223298,Texas Department of State Health Services-Laboratory Services,Centers for Disease Control and Prevention,H1N1pdm09
EPI768195 | 3025626254_ZZYPO8CE_v1_4,EPIISL223285,New York State Department of Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI768163 | 3000477728_288284_v1_4,EPIISL223281,Laboratorio de Virus Respiratorio,Centers for Disease Control and Prevention,H1N1pdm09
EPI768155 | 3025626771_ZZYPOAST_v1_4,EPIISL223280,Massachusetts Department of Public Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI768107 | 3025626772_ZZYPOASV_v1_4,EPIISL223274,Kentucky Division of Laboratory Services,Centers for Disease Control and Prevention,H1N1pdm09
EPI768091 | 3000478005_290016_v1_4,EPIISL223272,CSEE,Centers for Disease Control and Prevention,H1N1pdm09
EPI768043 | 3000478014_290025_v1_4,EPIISL223266,CSEE,Centers for Disease Control and Prevention,H1N1pdm09
EPI767956 | 3000478009_290020_v1_4,EPIISL223255,CSEE,Centers for Disease Control and Prevention,H1N1pdm09
EPI767940 | 3000478008_290019_v1_4,EPIISL223253,CSEE,Centers for Disease Control and Prevention,H1N1pdm09
EPI767917 | 3000478006_290017_v1_4,EPIISL223250,CSEE,Centers for Disease Control and Prevention,H1N1pdm09
EPI767869 | 3025627232_ZZYPOD8B_v1_4,EPIISL223244,Iowa State Hygienic Laboratory,Centers for Disease Control and Prevention,H1N1pdm09
EPI767765 | 3025626575_ZZYPOABU_v1_4,EPIISL223231,Delaware Public Health Lab,Centers for Disease Control and Prevention,H1N1pdm09
EPI767685 | 3000478132_290703_v1_4,EPIISL223221,Instituto Adolfo Lutz,Centers for Disease Control and Prevention,H1N1pdm09
EPI767679 | 3000478134_290705_v1_4,EPIISL223220,Instituto Adolfo Lutz,Centers for Disease Control and Prevention,H1N1pdm09
EPI767671 | 3000478125_290696_v1_4,EPIISL223219,Instituto Adolfo Lutz,Centers for Disease Control and Prevention,H1N1pdm09
EPI767647 | 3000478127_290698_v1_4,EPIISL223216,Instituto Adolfo Lutz,Centers for Disease Control and Prevention,H1N1pdm09
EPI767609 | 3000478133_290704_v1_4,EPIISL223211,Instituto Adolfo Lutz,Centers for Disease Control and Prevention,H1N1pdm09
EPI767593 | 3000478139_290710_v1_4,EPIISL223209,Instituto Adolfo Lutz,Centers for Disease Control and Prevention,H1N1pdm09
EPI767577 | 3025627199_ZZYPOCUE_v1_4,EPIISL223207,ADPH Bureau of Clinical Laboratories,Centers for Disease Control and Prevention,H1N1pdm09
EPI767188 | A/Iasi/196079/2016,EPIISL223147,Cantacuzino Institute,Cantacuzino Institute,H1N1pdm09
EPI767186 | A/Buzau/195805/2016,EPIISL223145,Cantacuzino Institute,Cantacuzino Institute,H1N1pdm09
EPI767168 | A/TOKYO/EH22/2016_MDCK0+1_HA,EPIISL223138,National Institute of Infectious Diseases (NIID),National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI767166 | A/TOKYO/EH20/2016_MDCK0+1_HA,EPIISL223137,National Institute of Infectious Diseases (NIID),National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI765105 | 16S0851,EPIISL222789,Queensland Health Scientific Services,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI765069 | 16S0350,EPIISL222777,Royal Darwin Hospital,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI765048 | 16S0848,EPIISL222770,Queensland Health Scientific Services,WHO Collaborating Centre for Reference and Research on Influenza,H1N1pdm09
EPI765029 | A/KAWASAKI/6/2016_MDCK1+1_HA,EPIISL222760,Kawasaki City Institute of Public Health ,National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI765027 | A/KAWASAKI/1/2016_MDCK1+1_HA,EPIISL222759,Kawasaki City Institute of Public Health ,National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI765013 | A/TOKUSHIMA/2/2016_MDCK1+1_HA,EPIISL222752,Tokushima Prefectural Centre for Public Health and Environmental Sciences,National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI764983 | HA_16RPF25_T2594-16 O,EPIISL222740,,Robert-Koch-Institute,H1N1pdm09
EPI764982 | HA_16NSA29_T2555-16 O,EPIISL222739,,Robert-Koch-Institute,H1N1pdm09
EPI764975 | HA_16THR18_T2258-16 O,EPIISL222732,,Robert-Koch-Institute,H1N1pdm09
EPI764969 | HA_16BLN84_T1823-16 O,EPIISL222726,,Robert-Koch-Institute,H1N1pdm09
EPI764711 | HA_16HES14_T3628-16 O,EPIISL222659,,Robert-Koch-Institute,H1N1pdm09
EPI764710 | HA_16NSA42_T3616-16 O,EPIISL222658,,Robert-Koch-Institute,H1N1pdm09
EPI764708 | HA_16RPF34_T3520-16 O,EPIISL222656,,Robert-Koch-Institute,H1N1pdm09
EPI764707 | HA_16BAY45_T3514-16 O,EPIISL222655,,Robert-Koch-Institute,H1N1pdm09
EPI764701 | HA_16BAY68_T3476-16 O,EPIISL222649,,Robert-Koch-Institute,H1N1pdm09
EPI764700 | HA_16BLN85_T3456-16 O,EPIISL222648,,Robert-Koch-Institute,H1N1pdm09
EPI764699 | HA_16BWB72_T3451-16 O,EPIISL222647,,Robert-Koch-Institute,H1N1pdm09
EPI764698 | HA_16BAY67_T3448-16 O,EPIISL222646,,Robert-Koch-Institute,H1N1pdm09
EPI764697 | HA_16SAT62_T3445-16 O,EPIISL222645,,Robert-Koch-Institute,H1N1pdm09
EPI764696 | HA_16RPF35_T3392-16 O,EPIISL222644,,Robert-Koch-Institute,H1N1pdm09
EPI764695 | HA_16NSA40_T3382-16 O,EPIISL222643,,Robert-Koch-Institute,H1N1pdm09
EPI764693 | HA_16SAS61_T3380-16 O,EPIISL222641,,Robert-Koch-Institute,H1N1pdm09
EPI764692 | HA_16BRE9_T3362-16 O,EPIISL222640,,Robert-Koch-Institute,H1N1pdm09
EPI764689 | HA_16NSA38_T3304-16 O,EPIISL222637,,Robert-Koch-Institute,H1N1pdm09
EPI764688 | HA_16HES13_T3282-16 O,EPIISL222636,,Robert-Koch-Institute,H1N1pdm09
EPI764682 | HA_16NSA54_T3152-16 O,EPIISL222630,,Robert-Koch-Institute,H1N1pdm09
EPI764681 | HA_16SAT76_T3146-16 O,EPIISL222629,,Robert-Koch-Institute,H1N1pdm09
EPI764680 | HA_16BRE8_T3125-16 O,EPIISL222628,,Robert-Koch-Institute,H1N1pdm09
EPI764674 | HA_16BWB56_T2988-16 O,EPIISL222622,,Robert-Koch-Institute,H1N1pdm09
EPI764673 | HA_16BWB52_T2960-16 O,EPIISL222621,,Robert-Koch-Institute,H1N1pdm09
EPI764672 | HA_16BAY42_T2910-16 O,EPIISL222620,,Robert-Koch-Institute,H1N1pdm09
EPI764664 | HA_16BWB34_T2566-16 O,EPIISL222612,,Robert-Koch-Institute,H1N1pdm09
EPI764658 | HA_16HES4_T1734-16 O,EPIISL222606,,Robert-Koch-Institute,H1N1pdm09
EPI764654 | HA_16MVP2_T1379-16 O,EPIISL222602,,Robert-Koch-Institute,H1N1pdm09
EPI764653 | HA_16NSA2_T1363-16 O,EPIISL222601,,Robert-Koch-Institute,H1N1pdm09
EPI764652 | HA_16NRW12_T1358-16 O,EPIISL222600,,Robert-Koch-Institute,H1N1pdm09
EPI764651 | HA_16HAM3_T1284-16 O,EPIISL222599,,Robert-Koch-Institute,H1N1pdm09
EPI762948 | 3025626688_ZZYPOAAY_v1_4,EPIISL222237,Seattle & King County Public Health Lab,Centers for Disease Control and Prevention,H1N1pdm09
EPI762824 | 3025626395_ZZYPO96A_v1_4,EPIISL222224,New York City Department of Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI762770 | 3025626390_ZZYPO960_v1_4,EPIISL222218,New York City Department of Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI762745 | 3025625550_288466_v1_4,EPIISL222215,New Mexico Department of Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI762691 | 3025626693_ZZYPOAB7_v1_4,EPIISL222206,Southern Nevada Public Health Lab,Centers for Disease Control and Prevention,H1N1pdm09
EPI762585 | 3025625689_ZZYPO5NB_v1_4,EPIISL222190,Maryland Department of Health and Mental Hygiene,Centers for Disease Control and Prevention,H1N1pdm09
EPI762538 | 3000478103_290377_v1_4,EPIISL222184,Georgia Public Health Laboratory,Centers for Disease Control and Prevention,H1N1pdm09
EPI762522 | 3000477852_288802_v1_4,EPIISL222182,Georgia Public Health Laboratory,Centers for Disease Control and Prevention,H1N1pdm09
EPI762132 | A/Netherlands/357/2016|HA|,EPIISL222128,National Institute for Public Health and the Environment (RIVM),National Institute for Public Health and the Environment (RIVM),H1N1pdm09
EPI762129 | A/Netherlands/091/2016|HA|,EPIISL222127,National Institute for Public Health and the Environment (RIVM),National Institute for Public Health and the Environment (RIVM),H1N1pdm09
EPI762098 | A/Netherlands/1233/2016|HA|,EPIISL222114,National Institute for Public Health and the Environment (RIVM),National Institute for Public Health and the Environment (RIVM),H1N1pdm09
EPI762089 | A/Netherlands/1845/2016|HA|,EPIISL222111,National Institute for Public Health and the Environment (RIVM),National Institute for Public Health and the Environment (RIVM),H1N1pdm09
EPI762080 | A/Netherlands/364/2016|HA|,EPIISL222108,National Institute for Public Health and the Environment (RIVM),National Institute for Public Health and the Environment (RIVM),H1N1pdm09
EPI762071 | A/Netherlands/613/2016|HA|,EPIISL222105,National Institute for Public Health and the Environment (RIVM),National Institute for Public Health and the Environment (RIVM),H1N1pdm09
EPI760837 | A/Bucuresti/194880/2016,EPIISL221892,Cantacuzino Institute,Cantacuzino Institute,H1N1pdm09
EPI760834 | A/Mures/194950/2016,EPIISL221889,Cantacuzino Institute,Cantacuzino Institute,H1N1pdm09
EPI760833 | A/Dolj/194867/2016,EPIISL221888,Cantacuzino Institute,Cantacuzino Institute,H1N1pdm09
EPI760831 | A/Iasi/195170/2016,EPIISL221886,Cantacuzino Institute,Cantacuzino Institute,H1N1pdm09
EPI760582 | A/Paris/939/2016_HA,EPIISL221821,,Institut Pasteur,H1N1pdm09
EPI760573 | A/Picardie/2313/2016_HA,EPIISL221820,,Institut Pasteur,H1N1pdm09
EPI760565 | A/Paris/2291/2016_HA,EPIISL221819,,Institut Pasteur,H1N1pdm09
EPI760533 | A/Paris/2276/2016_HA,EPIISL221815,,Institut Pasteur,H1N1pdm09
EPI760509 | A/Paris/2272/2016_HA,EPIISL221812,,Institut Pasteur,H1N1pdm09
EPI760501 | A/Bretagne/2148/2016_HA,EPIISL221811,,Institut Pasteur,H1N1pdm09
EPI760382 | A/IBARAKI/27/2016_clinicalspecimen_HA,EPIISL221788,Ibaraki Prefectural Institute of Public Health,National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI760374 | A/TOTTORI/9/2016_clinicalspecimen_HA,EPIISL221787,Tottori Prefectural Institute of Public Health and Environmental Science,National Institute of Infectious Diseases (NIID),H1N1pdm09
EPI759697 | 3025626799_ZZYPOAW5_v1_4,EPIISL221651,South Dakota Public Health Lab,Centers for Disease Control and Prevention,H1N1pdm09
EPI759681 | 3025626791_ZZYPOAW1_v1_4,EPIISL221649,South Dakota Public Health Lab,Centers for Disease Control and Prevention,H1N1pdm09
EPI759665 | 3025626783_ZZYPOAVT_v1_4,EPIISL221647,South Dakota Public Health Lab,Centers for Disease Control and Prevention,H1N1pdm09
EPI759657 | 3025626782_ZZYPOAVS_v1_4,EPIISL221646,South Dakota Public Health Lab,Centers for Disease Control and Prevention,H1N1pdm09
EPI759601 | 3000477540_290248_v1_4,EPIISL221639,New York State Department of Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI759577 | 3000478182_290781_v1_4,EPIISL221636,New York State Department of Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI759537 | 3025626622_ZZYPOA5A_v1_4,EPIISL221631,New Mexico Department of Health,Centers for Disease Control and Prevention,H1N1pdm09
EPI759529 | 3025626243_ZZYPO8BM_v1_4,EPIISL221630,New Jersey Department of Health & Senior Services,Centers for Disease Control and Prevention,H1N1pdm09
